  29:                            W.. 0x09480               W.. 0x09f00               W.. 0x0a980
  93:               W.. 0x08f80               W.. 0x09a00               W.. 0x0a480
 163:                            W.. 0x09500               W.. 0x09f80               W.. 0x0aa00
 221:               W.. 0x09000               W.. 0x09a80               W.. 0x0a500
 317:                            W.. 0x09580               W.. 0x0a000               W.. 0x0aa80
 349:               W.. 0x09080               W.. 0x09b00               W.. 0x0a580
 445:                            W.. 0x09600               W.. 0x0a080               W.. 0x0ab00
 477:               W.. 0x09100               W.. 0x09b80               W.. 0x0a600
 573:                            W.. 0x09680               W.. 0x0a100               W.. 0x0ab80
 605:               W.. 0x09180               W.. 0x09c00               W.. 0x0a680
 701:                            W.. 0x09700               W.. 0x0a180               W.. 0x0ac00
 733:               W.. 0x09200               W.. 0x09c80               W.. 0x0a700
 829:                            W.. 0x09780               W.. 0x0a200               W.. 0x0ac80
 861:               W.. 0x09280               W.. 0x09d00               W.. 0x0a780
 957:                            W.. 0x09800               W.. 0x0a280               W.. 0x0ad00
 989:               W.. 0x09300               W.. 0x09d80               W.. 0x0a800
1085:                            W.. 0x09880               W.. 0x0a300               W.. 0x0ad80
1117:               W.. 0x09380               W.. 0x09e00               W.. 0x0a880
1213:  W.. 0x08e80               W.. 0x09900               W.. 0x0a380               W.. 0x0ae00
1265:               W.. 0x09400               W.. 0x09e80               W.. 0x0a900
1331:  W.. 0x08f00               W.. 0x09980               W.. 0x0a400               W.. 0x0ae80
